equivalence_class,total_docs
oil fire,1
old timers,1
ones form,1
onion,3
onion family,1
operation,1
optionally,1
optionally pepper,1
order,3
other meanings,1
other sealing methods,1
others,1
others claim,1
outcome,2
oven,8
oven temperature,2
oven-proof pots,1
over-cooking,1
over-filled,1
overcrowding,1
oysters poultry,1
pair,1
pan,12
pan bottom,2
pan deep fryers,1
pan drippings,1
pan sauce,2
pan-searing,1
paper salt,1
paper towel,1
parboiling,3
parsley,1
part,1
parts,4
pasteurization,1
pastries,1
pat,1
path,1
peak times,1
peanut oil,1
peas,1
pellicles form,1
pellicles formation,1
people,1
pepper,1
peppermint,1
performance,1
period,3
person,2
piece,1
pieces,5
pieces briefly,1
pilot,1
pin,2
pipe,1
pipes,1
place,5
place egg,1
plastic,1
plastic bag,1
plate,1
plug,1
poaching,1
point,4
point increases,1
points,1
pollo baked lamb,1
pork,1
pork ribs,1
portions,1
position,1
pot,5
potatoes,3
poultry,2
poultry cedar,1
powder,1
pre-cooking,1
pre-cut,1
pre-heat,1
preference,1
preheat,1
preheated,1
preparations,1
prepare,1
preservation qualities,1
pressure,2
pressure cooker,1
pressure cooking,1
pressure increases,1
price points,1
principle,2
procedure,1
process,8
process smoking,1
product,4
products,1
propane,1
propane fires,1
proper technique,1
protein,1
proteins refold,1
pudding mixtures,1
pungency,1
purpose,4
purposes,2
pushpin,1
quality,2
quality thermometer,1
quantity,4
question,1
rack,1
racks,1
radiation,1
range,2
ranges,2
rapidity,1
rate,2
rays spread,1
reason,2
reason syrups,1
reboiling,1
recipe,10
reduction,1
refridgerate,1
refrigerate,1
refrigerating,1
refrigeration,2
refrigerator,1
release,1
release mechanism,1
release steam,1
releases,1
relevent cooking chemistry,1
requirement,1
residue,1
rest,2
restaurant,1
result,8
results,3
return,2
rice,1
rice bran oil,1
right temperature,1
rinse,1
rise,3
roast,2
roast potatoes,1
roasted foods,1
roasting,4
roasting environment,1
roasting temperature,1
roasts,2
roman times,1
room radiator,1
rosemary,1
round ones,1
roux,1
rub,1
rubber ring seal,1
rubber seal,1
rule,2
safety,3
safety chip pans,1
salad,1
salt,5
samosas dough,1
sampling,1
sandwich cooking device,1
sanitation,1
saris,1
sauce,5
sauce whisking,1
saucepan,1
sauces,1
saute,4
scalding,1
scallops,1
scoop,3
scorch,1
scorched milk,1
scrape,1
scrubbing,1
scum,1
sea level,1
seafood,1
seal,1
sealing,1
sealing food,1
seasoning,1
seasoning flavor,1
seaweed — sharp,1
seconds,1
sectioned steaks,1
self basting process,1
sense,1
service,1
sesame,1
sewers problems,1
shallots,1
shape,2
shelf life,1
shell,1
shelving,1
shirring,1
shirt,1
shirts,1
shrimp,1
side,3
sides,2
simmering,1
simulation,1
situations,1
size,2
skillet,1
skin,3
skins,2
slice,1
slices,1
slope-sided pan,1
smell,1
smoke point,1
smokey fire,1
smoking,3
smoking point,1
soaps,1
solids,1
solution,1
something,2
soogy foods,1
sort,1
sound,1
soup,1
source,1
sous-vide,1
soy sauce,1
space,1
spatters,1
speed,1
spices,4
spider,1
spirits,1
spit-roasting,1
splash,1
splatter,1
spoon,4
spots,1
spring,1
square bumps,1
squid,1
stacks,1
stage,3
starch,2
steak,1
steak condition,1
steaks,2
steam,8
steam pressure,1
steamer,1
steel,1
steel container,1
step,3
stew,1
stewing,2
stewing meats,1
stewing vessel,1
stews,1
stir-fried,2
stir-frying,2
stir-frying sautéing,1
stock,3
stopper,1
storage,2
stove,2
streamers,1
style barbecue,1
substances,2
such,1
suckers,1
sugar,4
suggestions,1
summer,1
sun,1
sunlight,1
surface,5
surface evaporation,1
surfaces,1
suspension,1
sweetbread,1
sweeteners,1
system,1
table,1
tadka,1
tadka dhal,1
tannic,1
task,1
taste,4
tea,1
tea bag,1
tea strainer,1
technique,5
temperature,16
tempura,1
tendency,2
tender,5
term,5
texture,3
thaw,1
thermometer,4
thickness,2
thing,1
threat,1
thumb,1
tight-fitting,1
time,12
timing,2
tip,1
tips,5
tissue,1
tissues,1
toast,1
tomatoes,3
tongs,1
tool,4
tortilla chips,1
touch,2
tough cuts,1
tough vegetables,1
trade,1
transfer heat,1
tray,1
tree,1
trivet,1
trust,1
turkey,1
turkey fryer,1
turnips,1
twinkies,1
type,2
types,4
uk,1
un-rested meat,1
uncooked side,1
under-cooked,1
unglazed clay pot,1
unit,1
united states,2
use,13
use cornmeal,1
use steel,1
use utensils,1
use water,1
usefulness,1
utensil,1
utilize draft control,1
vaccum,1
vaccum sealing,1
value,2
vaporizes,1
variation,3
variety,2
veal escalopes,1
vegetable,11
vegetables,1
veloute sauce,1
versions,1
vessel,3
vin eggplant,1
vinegar,1
waffle iron,1
walls,2
warning,2
wash,1
wastes fuel,1
watch,1
water,14
water bath,1
water briefly,1
water container,1
water heater,1
water hisses,1
water oven,1
water treatment plants,1
way,9
weather,1
web sites,1
wedge,1
week,1
whey separation,1
whisk,1
wine,5
winter,1
wire,1
wok,1
wood,2
word,1
work,3
world,1
yogurt,4
